name,address,latitude,longitude
Unknown,Unknown Address,53.1747025,-6.2917691
Unknown,Unknown Address,53.3912854,-6.5664938
Unknown,Unknown Address,53.3884247,-6.566676
Unknown,Unknown Address,53.3487574,-6.2420851
IFSC Car Park,Unknown Address,53.3485887,-6.2461854
Unknown,Unknown Address,55.2301599,-6.3925511
Irish Life Car Park,Unknown Address,53.3493115,-6.2558171
Unknown,Unknown Address,54.5779621,-5.9149027
Harbour Car Park,Harbour Road,53.2950371,-6.1326006
Unknown,Unknown Address,53.3969397,-6.1296965
Beach,Unknown Address,53.3533786,-6.1651686
Unknown,Unknown Address,53.3442546,-6.2390739
Unknown,Unknown Address,53.2854478,-6.247021
Unknown,Unknown Address,53.2857446,-6.2465714
Unknown,Unknown Address,53.2850886,-6.246382
Unknown,Unknown Address,53.2872923,-6.2457151
Unknown,Unknown Address,53.2874879,-6.2445825
Unknown,Unknown Address,53.2871724,-6.2446078
Unknown,Unknown Address,53.2878512,-6.24577
Glor Car Park,Unknown Address,52.8450422,-8.9768401
Unknown,Unknown Address,53.2947143,-6.2555339
Unknown,Unknown Address,53.2839177,-6.259105
Unknown,Unknown Address,53.2883788,-6.2678018
Unknown,Unknown Address,52.667477,-8.5703754
Cornmarket Square,Unknown Address,52.663238,-8.6227267
Unknown,Unknown Address,53.2787716,-6.1091757
Unknown,Unknown Address,53.3009473,-6.2824997
Unknown,Unknown Address,53.291797,-6.2794463
Unknown,Unknown Address,53.2979357,-6.2797711
Unknown,Unknown Address,53.2931678,-6.279849
Unknown,Unknown Address,53.2926052,-6.2774683
North Beach car park,Unknown Address,53.523921,-6.084418
Unknown,Unknown Address,53.2051327,-6.0998009
Unknown,Unknown Address,53.2809307,-6.2736453
Unknown,Unknown Address,53.28435,-6.2587
Unknown,Unknown Address,53.3904416,-6.1088757
Unknown,Unknown Address,53.2935156,-6.2685846
Unknown,Unknown Address,53.2991366,-6.2868796
Unknown,Unknown Address,53.3116617,-6.2737612
Unknown,Unknown Address,52.6393335,-8.6445539
Unknown,Unknown Address,53.2868671,-6.2368408
Red Car Park,Sandyford Road,53.2869021,-6.2400074
Unknown,Unknown Address,53.4508617,-6.9545035
Unknown,Unknown Address,53.4650768,-6.1919083
Unknown,Unknown Address,52.3546869,-7.6984612
Unknown,Unknown Address,53.2694901,-6.151881
Unknown,Unknown Address,52.7101819,-8.8790558
Castlelough Woods,Unknown Address,52.8874205,-8.3947886
Unknown,Unknown Address,52.8795883,-8.3942307
Arthur's Quay Car Park,Unknown Address,52.6655493,-8.6254035
Long Term 3,Unknown Address,52.6929451,-8.9261514
Long Term 2,Unknown Address,52.6928931,-8.9241945
Unknown,Unknown Address,53.3271913,-8.2187339
Unknown,Unknown Address,53.2279285,-8.6291333
Unknown,Unknown Address,52.6392008,-9.5508324
Unknown,Unknown Address,53.2899538,-6.3149526
Unknown,Unknown Address,53.2896616,-6.3151674
Unknown,Unknown Address,53.5106993,-6.4003909
Unknown,Unknown Address,53.4756931,-7.3675755
Unknown,Unknown Address,52.8041523,-6.176344
Duke Street,Unknown Address,53.7158113,-6.3531287
Unknown,Unknown Address,53.7166134,-6.3568759
Unknown,Unknown Address,52.4012985,-8.3225108
Unknown,Unknown Address,52.4297358,-8.1686614
Unknown,Unknown Address,53.3459441,-6.3094794
Steamboat Quay Car Park,Dock Road,52.6599803,-8.637053
Unknown,Unknown Address,53.4715834,-6.2318009
Unknown,Unknown Address,53.3884001,-6.2466186
Unknown,Unknown Address,53.5136209,-7.3399136
Unknown,Unknown Address,53.5284652,-7.3353229
Ballycasey Craft Center,Unknown Address,52.7107197,-8.8560433
MacDonagh Junction,Unknown Address,52.6553847,-7.2435989
Scotch Hall Car Park,Unknown Address,53.7136096,-6.3452711
Unknown,Unknown Address,55.0551652,-6.0487942
Unknown,Unknown Address,53.2314641,-6.1236058
Unknown,Unknown Address,53.2759472,-9.0722872
Unknown,Unknown Address,55.2143083,-6.143912
Unknown,Unknown Address,55.2055611,-6.2222658
Unknown,Unknown Address,55.2026125,-6.2291809
Unknown,Unknown Address,55.2004091,-6.2491757
Unknown,Unknown Address,55.1828112,-6.7206437
Unknown,Unknown Address,55.1597629,-6.8059199
Unknown,Unknown Address,55.1343245,-6.843037
Unknown,Unknown Address,53.1906422,-6.2436526
Unknown,Unknown Address,53.4658729,-6.2140705
Unknown,Unknown Address,53.4666853,-6.2132581
Unknown,Unknown Address,53.4652248,-6.1958695
Unknown,Unknown Address,53.4610464,-6.2115874
Unknown,Unknown Address,52.9105593,-8.5382649
Unknown,Unknown Address,52.9090874,-8.5452177
Unknown,Unknown Address,53.167051,-6.5430844
Unknown,Unknown Address,52.9111493,-8.5313295
Meridian Point Shopping Centre,Unknown Address,53.1441918,-6.0640919
Unknown,Unknown Address,52.4866985,-9.6764791
Unknown,Unknown Address,53.3489233,-6.5110101
Unknown,Unknown Address,55.1193779,-6.9188873
Unknown,Unknown Address,53.3920598,-6.5935017
Unknown,Unknown Address,53.3916575,-6.5920743
Unknown,Unknown Address,53.3935755,-6.593406
Unknown,Unknown Address,53.3934222,-6.593194
Unknown,Unknown Address,53.3933683,-6.593563
Unknown,Unknown Address,53.3934066,-6.594035
Unknown,Unknown Address,53.3858973,-6.5961779
Pavilion Car Park,Queen's Road,53.2936686,-6.1326479
Unknown,Unknown Address,53.3824786,-6.5862904
Unknown,Unknown Address,53.3841241,-6.58706
Unknown,Unknown Address,53.3840049,-6.5867246
Unknown,Unknown Address,53.3843625,-6.5869008
Unknown,Unknown Address,53.3840938,-6.5860775
Unknown,Unknown Address,55.0428892,-7.4767092
Rossa Place,Unknown Address,52.8643426,-8.1960758
Unknown,Unknown Address,52.6427682,-6.2252115
Unknown,Unknown Address,55.0778302,-7.4533291
Unknown,Unknown Address,55.1381212,-7.4614361
Unknown,Unknown Address,55.1416889,-7.4554266
Unknown,Unknown Address,55.1412628,-7.4593042
Unknown,Unknown Address,52.1779611,-8.3586487
Unknown,Unknown Address,52.994243,-6.9830949
Unknown,Unknown Address,52.8922304,-6.3891557
Oughaval Wood Car Park,Unknown Address,53.0043116,-7.1275726
Unknown,Unknown Address,53.7219423,-6.5253381
Rossmore Forest Park,Unknown Address,54.228239,-6.9965727
Ballycuggaran,Unknown Address,52.8341636,-8.4661309
Unknown,Unknown Address,53.1199335,-9.6673623
Bridgewater Shopping Centre Car Park,Unknown Address,52.7990026,-6.145651
Ballina G.A.A.,Unknown Address,52.8155086,-8.4383499
Unknown,Unknown Address,52.7263656,-8.5056922
Unknown,Unknown Address,52.1119139,-9.9029361
O'Sullivans Place Car Park,Unknown Address,52.0619303,-9.5075174
Glenaniff Waterfalls,Unknown Address,54.3805056,-8.133449
Viking Hotel,Unknown Address,52.2418697,-7.1641278
Viking Hotel,Unknown Address,52.2426851,-7.1648673
Unknown,Unknown Address,53.3818243,-6.5951766
Unknown,Unknown Address,53.0978041,-6.9150675
Christchurch Car Park,Unknown Address,53.3423595,-6.2703342
Unknown,Unknown Address,53.0093573,-7.3173041
Unknown,Unknown Address,53.030585,-7.296609
Unknown,Unknown Address,52.275305,-9.7793038
Banna Car Park 1,Unknown Address,52.3378763,-9.8315781
Drury Street Car Park,Drury Street,53.342819,-6.263172
Unknown,Unknown Address,53.5120362,-10.1367987
Unknown,Unknown Address,52.2116047,-10.0394752
Unknown,Unknown Address,52.208449,-10.0489595
Unknown,Unknown Address,52.204178,-10.0490968
Unknown,Unknown Address,52.2066607,-10.0366857
Unknown,Unknown Address,52.2080546,-10.0370719
Unknown,Unknown Address,52.2145761,-10.0230815
Unknown,Unknown Address,52.2117362,-10.0198629
Unknown,Unknown Address,52.8156381,-8.9671824
Charleville Town Centre,Unknown Address,52.3541322,-8.6794995
Unknown,Unknown Address,53.1477484,-6.0699013
Unknown,Unknown Address,52.6016334,-6.5485907
Spanish Point Beach,Unknown Address,52.8431758,-9.433018
Unknown,Unknown Address,52.8672265,-9.4266606
Golf Club,Unknown Address,52.839729,-9.4309376
Unknown,Unknown Address,52.2730052,-8.0153897
Unknown,Unknown Address,52.7953178,-6.6616202
Unknown,Unknown Address,53.2828138,-6.3774686
Unknown,Unknown Address,55.4247963,-5.6031954
Irish Seed Savers Association,Unknown Address,52.9176435,-8.5657442
Unknown,Unknown Address,52.8061617,-8.445049
Unknown,Unknown Address,54.5044571,-8.1899005
Unknown,Unknown Address,54.5044073,-8.1903211
Providers Hardware,Unknown Address,53.7290874,-7.8041326
Unknown,Unknown Address,52.4690714,-7.0018981
Unknown,Unknown Address,53.2049343,-6.8604604
Unknown,Unknown Address,53.2803637,-6.119025
Unknown,Unknown Address,53.2810724,-6.1140395
Unknown,Unknown Address,53.2747977,-6.1389175
Unknown,Unknown Address,53.2767051,-6.1408856
Unknown,Unknown Address,53.2814474,-6.1076997
Unknown,Unknown Address,52.8061588,-8.4352348
Unknown,Unknown Address,52.9300096,-8.4299822
Unknown,Unknown Address,52.9301894,-8.430384
Unknown,Unknown Address,52.9325191,-8.455956
Unknown,Unknown Address,52.9287009,-8.4533805
Unknown,Unknown Address,52.9205458,-8.453472
Unknown,Unknown Address,52.6296671,-8.6433747
Unknown,Unknown Address,52.6302245,-8.6431773
Unknown,Unknown Address,53.2261651,-9.5006173
Unknown,Unknown Address,53.2281786,-9.4903554
Underground Visitor Car Park,Unknown Address,52.6753845,-8.573182
Unknown,Unknown Address,52.6908231,-8.4002253
Unknown,Unknown Address,52.9325796,-8.4392089
Moore Abbey Wood Car Park,Unknown Address,53.1303182,-7.0488958
Unknown,Unknown Address,52.4661577,-7.9058274
Coonagh Airfield,Unknown Address,52.6657762,-8.6848588
Unknown,Unknown Address,52.5981391,-8.7135376
Unknown,Unknown Address,52.3176074,-7.1421902
Unknown,Unknown Address,54.6603268,-5.7119221
Unknown,Unknown Address,54.6589963,-5.7036394
Unknown,Unknown Address,54.6596665,-5.702927
Unknown,Unknown Address,53.0708281,-7.5428347
Unknown,Unknown Address,53.0828575,-7.555094
Unknown,Unknown Address,52.8901634,-8.4807925
Unknown,Unknown Address,52.8937141,-8.5071625
Unknown,Unknown Address,53.0300848,-7.2949791
Visitor parking,Unknown Address,53.3766596,-6.2770411
Unknown,Unknown Address,53.6094574,-6.1825251
Apartment Car Park,Unknown Address,53.3260722,-6.2658075
Unknown,Unknown Address,53.3295054,-6.2610113
Unknown,Unknown Address,53.2678182,-8.9312587
Unknown,Unknown Address,52.2364973,-7.2068811
Unknown,Unknown Address,52.9438446,-6.710445
Unknown,Unknown Address,52.0515666,-7.6626912
Unknown,Unknown Address,52.04569,-7.6072016
Showgrounds Shopping Centre rooftop car-park,Unknown Address,52.3546057,-7.6915041
Bloomfield,Library Road,53.2933181,-6.1398145
Unknown,Unknown Address,53.4026333,-6.1572153
Park & Ride Car Park,Unknown Address,53.4026015,-6.1507559
Unknown,Unknown Address,53.421,-6.1542839
Unknown,Unknown Address,53.4201268,-6.1639259
Unknown,Unknown Address,53.3873887,-6.1015499
Unknown,Unknown Address,53.3878238,-6.1008204
Unknown,Unknown Address,53.395453,-6.1642592
Unknown,Unknown Address,53.3200923,-6.2910748
Unknown,Unknown Address,55.0318244,-8.1478226
Unknown,Unknown Address,53.0310595,-7.2996712
Unknown,Unknown Address,53.0385208,-7.2951365
Unknown,Unknown Address,52.9269645,-8.4208398
Unknown,Unknown Address,53.2452321,-6.6655065
Unknown,Unknown Address,53.3971337,-6.3026935
Unknown,Unknown Address,52.9331729,-8.3745965
Unknown,Unknown Address,52.9458248,-8.3736423
Unknown,Unknown Address,53.6832585,-6.6095396
Unknown,Unknown Address,53.5096759,-7.3854946
Unknown,Unknown Address,54.8413573,-8.4320494
Unknown,Unknown Address,53.037905,-6.797532
Unknown,Unknown Address,53.2833965,-6.1962122
castle,Unknown Address,55.237398,-6.4484791
Unknown,Unknown Address,53.4066343,-6.2037587
Dooney Rock,Unknown Address,54.2384973,-8.4281663
Quayside,Unknown Address,54.2734902,-8.4783651
Unknown,Unknown Address,53.0374004,-6.799605
Unknown,Unknown Address,52.8349074,-6.9286727
